scenario,controller,seed,distance_rmse_m,distance_mae_m,max_abs_error_m,bearing_rmse_rad,minimum_distance_m,within_025m_fraction,close_duration_s,stale_duration_s,command_acceleration_rms,command_angular_acceleration_rms,command_effort_proxy
target_loss,neuro_fuzzy,0,0.103498739376016,0.05728575114122049,0.48305401396698566,0.056343194837027266,1.4290219136204005,0.948,0.0,3.456,0.422551192262377,0.36539124631722153,7.9773299567844695
target_loss,neuro_fuzzy,1,0.103498739376016,0.05728575114122049,0.48305401396698566,0.056343194837027266,1.4290219136204005,0.948,0.0,3.456,0.422551192262377,0.36539124631722153,7.9773299567844695
target_loss,neuro_fuzzy,2,0.103498739376016,0.05728575114122049,0.48305401396698566,0.056343194837027266,1.4290219136204005,0.948,0.0,3.456,0.422551192262377,0.36539124631722153,7.9773299567844695
target_loss,neuro_fuzzy,3,0.103498739376016,0.05728575114122049,0.48305401396698566,0.056343194837027266,1.4290219136204005,0.948,0.0,3.456,0.422551192262377,0.36539124631722153,7.9773299567844695
target_loss,neuro_fuzzy,4,0.103498739376016,0.05728575114122049,0.48305401396698566,0.056343194837027266,1.4290219136204005,0.948,0.0,3.456,0.422551192262377,0.36539124631722153,7.9773299567844695
wheel_mismatch,legacy_neuro_fuzzy,0,0.22385729579794839,0.19562177743600176,0.40596947562788976,0.11274077029699817,1.458670030786499,0.71,0.0,0.0,0.10560531641845962,0.08592557965102328,8.64018692154502
wheel_mismatch,legacy_neuro_fuzzy,1,0.22385729579794839,0.19562177743600176,0.40596947562788976,0.11274077029699817,1.458670030786499,0.71,0.0,0.0,0.10560531641845962,0.08592557965102328,8.64018692154502
wheel_mismatch,legacy_neuro_fuzzy,2,0.22385729579794839,0.19562177743600176,0.40596947562788976,0.11274077029699817,1.458670030786499,0.71,0.0,0.0,0.10560531641845962,0.08592557965102328,8.64018692154502
wheel_mismatch,legacy_neuro_fuzzy,3,0.22385729579794839,0.19562177743600176,0.40596947562788976,0.11274077029699817,1.458670030786499,0.71,0.0,0.0,0.10560531641845962,0.08592557965102328,8.64018692154502
wheel_mismatch,legacy_neuro_fuzzy,4,0.22385729579794839,0.19562177743600176,0.40596947562788976,0.11274077029699817,1.458670030786499,0.71,0.0,0.0,0.10560531641845962,0.08592557965102328,8.64018692154502
wheel_mismatch,pid,0,0.06634356226345127,0.05241482679824338,0.24727135533002054,0.07513388619607418,1.4215823616097951,1.0,0.0,0.0,0.13647247102361515,0.12737734048324192,10.220309583866657
wheel_mismatch,pid,1,0.06634356226345127,0.05241482679824338,0.24727135533002054,0.07513388619607418,1.4215823616097951,1.0,0.0,0.0,0.13647247102361515,0.12737734048324192,10.220309583866657
wheel_mismatch,pid,2,0.06634356226345127,0.05241482679824338,0.24727135533002054,0.07513388619607418,1.4215823616097951,1.0,0.0,0.0,0.13647247102361515,0.12737734048324192,10.220309583866657
wheel_mismatch,pid,3,0.06634356226345127,0.05241482679824338,0.24727135533002054,0.07513388619607418,1.4215823616097951,1.0,0.0,0.0,0.13647247102361515,0.12737734048324192,10.220309583866657
wheel_mismatch,pid,4,0.06634356226345127,0.05241482679824338,0.24727135533002054,0.07513388619607418,1.4215823616097951,1.0,0.0,0.0,0.13647247102361515,0.12737734048324192,10.220309583866657
wheel_mismatch,fuzzy,0,0.08830698588923971,0.06953665639922242,0.26052458930812916,0.1515774702918293,1.36451097324707,0.9893333333333333,0.0,0.0,0.12414293865843098,0.10427920709515247,10.40388729383148
wheel_mismatch,fuzzy,1,0.08830698588923971,0.06953665639922242,0.26052458930812916,0.1515774702918293,1.36451097324707,0.9893333333333333,0.0,0.0,0.12414293865843098,0.10427920709515247,10.40388729383148
wheel_mismatch,fuzzy,2,0.08830698588923971,0.06953665639922242,0.26052458930812916,0.1515774702918293,1.36451097324707,0.9893333333333333,0.0,0.0,0.12414293865843098,0.10427920709515247,10.40388729383148
wheel_mismatch,fuzzy,3,0.08830698588923971,0.06953665639922242,0.26052458930812916,0.1515774702918293,1.36451097324707,0.9893333333333333,0.0,0.0,0.12414293865843098,0.10427920709515247,10.40388729383148
wheel_mismatch,fuzzy,4,0.08830698588923971,0.06953665639922242,0.26052458930812916,0.1515774702918293,1.36451097324707,0.9893333333333333,0.0,0.0,0.12414293865843098,0.10427920709515247,10.40388729383148
